name,developer,valid,score
"          Livelo: trocar pontos, viagens.png",            Livelo          ,True,0.9423460407425129
          Livelo.png,            Ictual B.V.          ,False,0.5002205598192263
          Milhas por Compras.png,            Filipe Schuler          ,False,0.4603115232799645
          Pocket Bubble Level XXL.png,            ExaMobile S.A.          ,False,0.47332648691323137
          Flow Free.png,            Big Duck Games LLC          ,False,0.4441018826413747
"          BIGO LIVE-Live Stream, Go Live.png",            BIGO TECHNOLOGY PTE. LTD.          ,False,0.45083996264359916
          LiveLeds.png,            Denis Volyntsev          ,False,0.4780546117264251
          Hola Video Chat: Live Stream.png,            BESHY CHAT LIMITED          ,False,0.46851605153844095
"          MeMe Live - Live,Chat,Stream.png",            Liontrek Entertainment India Private Limited          ,False,0.5393309438056091
          Inter: Pix e Cartão de Crédito.png,            Banco Inter          ,False,0.4142646988217781
