name,developer,valid,score
Livelo: juntar e trocar pontos.png,Pontos Livelo,True,0.4000615004355549
Esfera - Pontos e Cashback.png,Esfera_,False,0.5048555406897911
Smiles: Viaje com Milhas.png,Smiles S.A,False,0.39545101320187703
"Olio - Share more, waste less.png",OLIO,False,0.3177315669883046
Monis: Viaje mais barato.png,Monis - Poupança por assinatura,False,0.5414126328204303
"Relive: Run, Ride, Hike & more.png",Relive B.V.,False,0.5527529259426512
"Priceline: Hotel, Flight & Car.png",priceline.com,False,0.46182716160153847
United Airlines.png,United Airlines,False,0.42955686214390376
"KAYAK: Flights, Hotels & Cars.png",KAYAK.com,False,0.48029648151762955
DIRTVision.png,World Racing Group,False,0.42470748050393353
LiveWell with Advocate Aurora.png,Advocate Aurora Health,False,0.5270595726170535
Fuelio: gas log & gas prices.png,Sygic.,False,0.46168854148386923
Life Time Digital.png,"Life Time, Inc.",False,0.48172469977953825
Skyscanner Flights Hotels Cars.png,Skyscanner Ltd,False,0.5083539976188556
Livongo.png,"Livongo Health, Inc",False,0.4581282705517492
لیوم - توییتر دخترونه | پریود.png,limoapp,False,0.48082963529015477
"Rebtel: Call, Top-Up, Transfer.png",Rebtel,False,0.44456392132555306
Travel Freely: Points & Miles.png,Travel Freely,False,0.40720365908247586
Way of Life: habit tracker.png,Way of Life ApS,False,0.4617714567177772
Travelocity Hotels & Flights.png,Travelocity.com,False,0.4462864613564874
Philo: Live and On-Demand TV.png,"Philo, Inc.",False,0.47783166001836685
Lifion by ADP.png,Lifion By ADP,False,0.34811813078979864
